"Successful authentication, you will be redirected in two seconds","Successful authentication, you will be redirected in two seconds"
"Please check billing address information","Please check billing address information"
"Please check shiping address information","Please check shiping address information"
"Unable to create customer account", "Unable to create customer account"
"Error", "Error"
"Enable Newsletter", "Enable Newsletter"
"Enable Coupon Code", "Enable Coupon Code"
"Show Quick View Product", "Show Quick View Product"
"Add modalbox product link in order summary table.", "Add modalbox product link in order summary table."
"Enable update product qty", "Enable update product qty"
"Create an account", "Create an account"
"Field Management", "Field Management"
"Enabled Fax Field", "Enabled Fax Field"
"Enabled Society Field", "Enabled Society Field"
