"Successful authentication, you will be redirected in two seconds","Votre connexion a réussi, vous allez être redirigé dans deux secondes."
"Please check billing address information","Erreur dans la saisie de l'adresse de facturation"
"Please check shipping address information","Erreur dans la saisie de l'adresse de livraison"
"Unable to create customer account", "Impossible de créer le compte client"
"Error", "Erreur"
"Enable Newsletter", "Activer la newsletter"
"Enable Coupon Code", "Activer le code de réduction"
"Show Quick View Product", "Afficher le lien d'aperçu rapide de produit"
"Add modalbox product link in order summary table.", "Ajoute un lien modalbox dans le tableau de résumé de commande."
"Enable update product qty", "Activer la mise à jour des quantités de produit"
"Create an account", "Créer un compte"
"Field Management", "Gestion des champs"
"Enabled Fax Field", "Activer le champs Fax"
"Enabled Society Field", "Activer le champs Société"
"Refresh order summary when postcode change", "Rafraichir les informations quand le code postal est modifié"
"Display update adress form", "Afficher un formulaire de mise à jour manuelle de l'adresse"
"Choose icons color", "Choisissez la couleur des icones"
"I don't find my address", "Je ne trouve pas mon adresse"
